records in mitdb: 48
 rec      leads normal   abn paced |    TP   FP   FN      P      R     F1  secs
 100    MLII+V5   2239    34     0 |  2271    1    2  1.000  0.999  0.999  13
 101    MLII+V1   1860     3     0 |  1858    6    7  0.997  0.996  0.997  15
 102      V5+V2     99     4  2084 |  skipped (paced)  13
 103    MLII+V2   2082     2     0 |  2079    0    5  1.000  0.998  0.999  13
 104      V5+V2    163     2  2046 |  skipped (paced)  13
 105    MLII+V1   2526    41     0 |    19    8 2553  0.704  0.007  0.015  13
 106    MLII+V1   1507   520     0 |  1352    0  675  1.000  0.667  0.800  14
 107    MLII+V1      0    59  2078 |  skipped (paced)  14
 108    MLII+V1   1740    23     0 |  1230   16  533  0.987  0.698  0.818  27
 109    MLII+V1   2492    40     0 |  2295    8  237  0.997  0.906  0.949  26
 111    MLII+V1   2123     1     0 |  2062    6   62  0.997  0.971  0.984  13
 112    MLII+V1   2537     2     0 |  2539    0    0  1.000  1.000  1.000  13
 113    MLII+V1   1789     6     0 |  1794    0    1  1.000  0.999  1.000  12
 114    V5+MLII   1820    59     0 |  1877    0    2  1.000  0.999  0.999  12
 115    MLII+V1   1953     0     0 |  1952    0    1  1.000  0.999  1.000  14
 116    MLII+V1   2302   110     0 |  2383    3   29  0.999  0.988  0.993  12
 117    MLII+V2   1534     1     0 |  1535    0    0  1.000  1.000  1.000  17
 118    MLII+V1   2166   112     0 |  2274    3    4  0.999  0.998  0.998  14
 119    MLII+V1   1543   444     0 |  1987    0    0  1.000  1.000  1.000  16
 121    MLII+V1   1861     2     0 |  1857    0    6  1.000  0.997  0.998  17
 122    MLII+V1   2476     0     0 |  2476    0    0  1.000  1.000  1.000  21
 123    MLII+V5   1515     3     0 |  1515    0    3  1.000  0.998  0.999  20
 124    MLII+V4   1536    83     0 |  1593    2   26  0.999  0.984  0.991  18
 200    MLII+V1   1743   858     0 |  2560   15   41  0.994  0.984  0.989  28
 201    MLII+V1   1635   328     0 |  1877    0   86  1.000  0.956  0.978  21
 202    MLII+V1   2061    75     0 |  2110    0   26  1.000  0.988  0.994  28
 203    MLII+V1   2529   447     0 |   849   30 2131  0.966  0.285  0.440  20
 205    MLII+V1   2571    85     0 |  2629    2   27  0.999  0.990  0.995  22
 207    MLII+V1   1543   317     0 |   261 1282 1599  0.169  0.140  0.153  19
 208 LOAD ERROR 502 Error: Bad Gateway for url: https://physionet.org/files/mitdb/1.0.0/208.hea
 209    MLII+V1   2621   384     0 |  3004    0    1  1.000  1.000  1.000  20
 210    MLII+V1   2423   227     0 |     8    1 2642  0.889  0.003  0.006  19
 212    MLII+V1   2748     0     0 |  2739    0    9  1.000  0.997  0.998  24
 213    MLII+V1   2641   610     0 |  3211   25   40  0.992  0.988  0.990  20
 214    MLII+V1   2003   257     0 |  2230    6   32  0.997  0.986  0.992  17
 215    MLII+V1   3195   168     0 |  3315    1   48  1.000  0.986  0.993  12
 217    MLII+V1    244   162  1802 |  skipped (paced)  13
 219    MLII+V1   2082    72     0 |  2145    1    9  1.000  0.996  0.998  13
 220    MLII+V1   1954    94     0 |  2048    0    0  1.000  1.000  1.000  21
 221    MLII+V1   2031   396     0 |  2131    0  296  1.000  0.878  0.935  16
 222    MLII+V1   2274   209     0 |  1866    0  617  1.000  0.752  0.858  14
 223    MLII+V1   2045   560     0 |  2037    4  568  0.998  0.782  0.877  25
 228    MLII+V1   1688   365     0 |   389    5 1664  0.987  0.189  0.318  14
 230    MLII+V1   2255     1     0 |  2254    1    2  1.000  0.999  0.999  22
 231    MLII+V1   1568     3     0 |  1568    0    3  1.000  0.998  0.999  21
 232    MLII+V1    398  1382     0 |  1752    0   28  1.000  0.984  0.992  19
 233    MLII+V1   2230   849     0 |  3061    0   18  1.000  0.994  0.997  24
 234    MLII+V1   2700    53     0 |  2746    0    7  1.000  0.997  0.999  20
DONE
