record,abnormal,within_patient_ROC,cross_patient_GB_ROC,within_patient_PR,cross_patient_GB_PR
116,109,0.9931,0.9933,0.9912,0.9630
118,112,0.9998,0.9678,0.9966,0.5337
119,444,0.9940,1.0000,0.9682,1.0000
200,847,0.9985,0.9897,0.9976,0.9848
209,384,0.9972,0.9903,0.9873,0.9145
213,600,0.9482,0.8424,0.9094,0.7567
214,247,1.0000,0.9998,1.0000,0.9988
215,155,1.0000,0.9982,0.9999,0.9684
219,71,0.9546,0.9852,0.8568,0.9199
220,94,0.9987,0.9987,0.9811,0.9784
232,1362,0.9896,0.1679,0.9963,0.6215
233,842,0.9995,0.9987,0.9989,0.9972
